,subject,condition,voi,b_mean,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20
0,BN002,introduction_1,Amy-BLA,-0.015864835669855033,0.2570324384549102,0.3370495728831549,0.8539155943455123,-0.1693505091614858,-0.2410548993844074,-0.1347509018533216,0.0111100973419467,0.0598657569454171,0.2129195125607187,-0.2052730465805931,0.029720590084678,0.0986873517137409,-1.1844135758818093,-0.2283118254423228,-0.0050020350836033,0.046397171120013,-0.1214154521364571,-0.2230262210008948,-0.1768203217988228,0.4654239894765253
1,BN002,investment_1,Amy-BLA,-0.17028293438737233,0.2096774499696558,-0.0862872468370167,-0.1068352895004159,0.0697724566433557,-0.1609498818339562,-0.1785293338981995,0.1043602604029408,-0.0161745592566472,0.0489567113650374,-0.0571074964458383,0.0262425023723746,-0.1330989410834683,-0.6653892850901244,-0.4145102435401551,-0.0852999567363759,-0.3466452463294833,-0.1556694926250513,-0.2033010643696518,-1.0402872425070602,-0.2145827884473659
2,BN002,waiting_1,Amy-BLA,-0.10922675229242847,-0.3335610844601659,-0.1933448073429591,-0.4992096511359917,0.3286189464493173,-0.0813750851898447,0.052001496827286,-0.0255794814232538,0.2737446212430692,0.1003939815141309,0.2039680608883633,-0.0982917582399329,0.0173374334246655,-0.1729693063564178,-0.1467390157103249,-0.2218596901431639,-0.0843583933314601,-0.3218106352449982,-0.1061636525624989,-0.936863979185146,0.0615269541307564
3,BN002,outcome_start_1,Amy-BLA,0.016449645713281717,-0.3966574815683814,-0.0413956841290579,-0.4459478196539116,0.3666083770026486,0.0044348898232617,0.253488502882137,0.0444933198302774,0.5914366616177911,0.1148158123711115,0.4725504572945774,0.0054300499199777,0.3385759246530146,-0.0649200680911817,0.1105076497320343,-0.2570698275292468,0.2856225253856843,-0.3071361048972578,-0.1722326506883595,-0.4816512855243428,-0.0919603341651417
4,BN002,outcome_1,Amy-BLA,0.07201611635499384,-0.4295469009173146,0.043547413488584,-0.3270567878445446,0.2719838605318177,0.0177617974924214,0.0650083255776188,-0.0113757067667294,0.5115797162637513,0.2467668317039207,0.5108522756888817,0.2863934903948009,0.0237577943728684,0.1431739495116737,0.1453859342787651,-0.030747655964318,0.4032296277037183,-0.0701754032615094,0.0138321016947393,-0.3343574206560565,-0.0396909161932121
5,BN002,introduction_2,Amy-BLA,-0.11364631391012836,-0.0552663372542684,-0.1909741400359056,-0.4370760367437695,0.0247096219572884,0.3089034655997168,-0.2394075950033345,0.1654424668718648,-0.1622642195065358,-0.3132070487334948,-0.3299564437714781,-0.2018522048330992,0.0898885900952337,-0.1527091320383805,0.2566420334122027,-0.5198102899081151,0.0740488337268523,-0.2447406970161268,0.0123942939341472,-0.3192576406280894,-0.0384337983272754
6,BN002,investment_2,Amy-BLA,-0.1496461573394146,0.1897522957725984,-0.213122174720105,-0.4446330455558821,-0.0571384215339247,-0.1032611353346389,0.031540462220977,0.228376502501598,-0.6411916052206313,-0.4995674478604285,-0.3549237847692404,-0.0491077390580202,-0.1966224257040456,-0.0461972003359953,0.4262286661248036,-0.6116007870766493,-0.096082427305702,-0.0409499707695334,-0.3266711715124941,-0.2423589435506552,0.054607206899677
7,BN002,waiting_2,Amy-BLA,-0.2109235865305507,-0.202588889323163,-0.0774599819284392,-0.3293069651442884,-0.1282908146918566,-0.1413354656727372,0.3326924182718854,-0.0424579155559925,-0.6121157358726657,-0.3664019089401165,-0.395762793127067,-0.1255096967610217,-0.4029357339115352,0.093200934140687,-0.1374633142150949,-0.5493770658983516,-0.4083165664601324,-0.148516694897179,-0.3726803224349124,-0.1371445973992475,-0.0667006207897858
8,BN002,outcome_start_2,Amy-BLA,-0.057251432327448726,-0.3083177636348453,0.2855735690490753,0.0331285525264514,-0.0725671925311277,-0.0306514356752534,0.7742594935838607,-0.1204259294824462,-0.194509128384857,-0.2013464922358261,-0.172747635927292,-0.2238061625295884,-0.1826994911120148,0.4361513543100573,-0.0595895905627816,-0.3368393232792822,-0.3552648566294267,-0.1191095038613758,-0.0946898904978952,0.0091115441432824,-0.2106887638176895
9,BN002,outcome_2,Amy-BLA,0.2290163780018532,0.2663547962908402,0.660387175734493,0.2227036048937125,0.2858860620387979,0.1517568204851025,0.251811197461986,-0.1282676836177824,0.4575627653361429,-0.0549983072517137,0.1537182386438562,0.070270517414377,0.0624596607365189,1.317530554876521,0.175154291670895,0.4251461977843675,-0.1781628654416872,0.0994857596055594,-0.0928213184516309,0.5365287722157548,-0.1021786803890469
